Id,Description,Claimant,Price,Office,Category
900,DAX Clear Channel Poster Frame,Anthony O'Donnell,14.58,British Columbia,Office Furnishings
901,"Memorex 4.7GB DVD-RAM, 3/Pack",Emily Grady,31.78,British Columbia,Computer Peripherals
902,Prang Drawing Pencil Set,Emily Grady,2.78,British Columbia,Pens & Art Supplies
903,Euro Pro Shark Stick Mini Vacuum,Alex Avila,60.98,British Columbia,Appliances
904,M3682,Alex Avila,125.99,British Columbia,Telephones and Communication
905,StarTAC 6500,Alex Avila,125.99,British Columbia,Telephones and Communication
906,SAFCO Arco Folding Chair,Brian Moss,276.2,British Columbia,Chairs & Chairmats
907,Eldon Advantage® Chair Mats for Low to Medium Pile Carpets,Emily Grady,43.31,British Columbia,Office Furnishings
908,SC7868i,Emily Grady,125.99,British Columbia,Telephones and Communication
909,HP Office Recycled Paper (20Lb. and 87 Bright),Anna Andreadi,5.78,British Columbia,Paper
910,KF 788,Anna Andreadi,45.99,British Columbia,Telephones and Communication
911,Logitech Internet Navigator Keyboard,Emily Grady,30.98,British Columbia,Computer Peripherals
912,ACCOHIDE® Binder by Acco,Barbara Fisher,4.13,British Columbia,Binders and Binder Accessories
913,"O'Sullivan Elevations Bookcase, Cherry Finish",Barbara Fisher,130.98,British Columbia,Bookcases
914,Serrated Blade or Curved Handle Hand Letter Openers,Emily Grady,3.14,British Columbia,"Scissors, Rulers and Trimmers"
915,"Tyvek ® Top-Opening Peel & Seel Envelopes, Plain White",Kelly Williams,27.18,British Columbia,Envelopes
916,Keytronic 105-Key Spanish Keyboard,Sonia Sunley,73.98,British Columbia,Computer Peripherals
917,"*Staples* vLetter Openers, 2/Pack",Sonia Sunley,3.68,British Columbia,"Scissors, Rulers and Trimmers"
918,Hon 4700 Series Mobuis™ Mid-Back Task Chairs with Adjustable Arms,Sonia Sunley,355.98,British Columbia,Chairs & Chairmats
919,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Sonia Sunley,160.98,British Columbia,Chairs & Chairmats
920,Global Adaptabilities™ Conference Tables,Sonia Sunley,280.98,British Columbia,Tables
921,Motorola SB4200 Cable Modem,Sonia Sunley,179.99,British Columbia,Computer Peripherals
922,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Jocasta Rupert,6.84,British Columbia,"Scissors, Rulers and Trimmers"
923,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Sonia Sunley,35.89,British Columbia,Envelopes
924,Wilson Jones DublLock® D-Ring Binders,Kelly Williams,6.75,British Columbia,Binders and Binder Accessories
925,Strathmore Photo Mount Cards,Anna Andreadi,6.78,British Columbia,Paper
926,Xerox 1978,Rick Duston,5.78,British Columbia,Paper
927,"GBC White Gloss Covers, Plain Front",Sonia Sunley,14.48,British Columbia,Binders and Binder Accessories
928,GBC DocuBind 200 Manual Binding Machine,Angele Hood,420.98,British Columbia,Binders and Binder Accessories
929,Self-Adhesive Address Labels for Typewriters by Universal,Sonia Sunley,7.31,British Columbia,Labels
930,"O'Sullivan Elevations Bookcase, Cherry Finish",Sonia Sunley,130.98,British Columbia,Bookcases
931,Xerox 1891,Sonia Sunley,48.91,British Columbia,Paper
932,Fellowes Recycled Storage Drawers,Sonia Sunley,111.03,British Columbia,Storage & Organization
933,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Sonia Sunley,208.16,British Columbia,Appliances
934,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Dennis Bolton,20.24,British Columbia,Office Furnishings
935,Newell 312,Stewart Carmichael,5.84,British Columbia,Pens & Art Supplies
936,Avery 487,Dennis Bolton,3.69,British Columbia,Labels
937,Avery 487,Sonia Sunley,3.69,British Columbia,Labels
938,Serrated Blade or Curved Handle Hand Letter Openers,Sonia Sunley,3.14,British Columbia,"Scissors, Rulers and Trimmers"
939,"Eureka Hand Vacuum, Bagless",Stewart Carmichael,49.43,British Columbia,Appliances
940,Airmail Envelopes,Kelly Williams,83.93,British Columbia,Envelopes
941,Keytronic French Keyboard,Sonia Sunley,73.98,British Columbia,Computer Peripherals
942,TDK 4.7GB DVD-R,Kelly Williams,10.01,British Columbia,Computer Peripherals
943,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",Sonia Sunley,4.91,British Columbia,Binders and Binder Accessories
944,Hon Olson Stacker Stools,Sonia Sunley,140.81,British Columbia,Chairs & Chairmats
945,Newell 314,Sonia Sunley,5.58,British Columbia,Pens & Art Supplies
946,Global Ergonomic Managers Chair,Sonia Sunley,180.98,British Columbia,Chairs & Chairmats
947,Xerox 1995,Sonia Sunley,6.48,British Columbia,Paper
948,Belkin 8 Outlet Surge Protector,Anna Andreadi,40.98,British Columbia,Appliances
949,Canon Image Class D660 Copier,Seth Vernon,599.99,British Columbia,Copiers and Fax
950,Xerox 1919,Seth Vernon,40.99,British Columbia,Paper
951,Eldon Jumbo ProFile™ Portable File Boxes Graphite/Black,Seth Vernon,15.31,British Columbia,Storage & Organization
952,Accessory27,Alex Avila,35.99,British Columbia,Telephones and Communication
953,Berol Giant Pencil Sharpener,Sarah Foster,16.99,British Columbia,Pens & Art Supplies
954,Verbatim DVD-R 4.7GB authoring disc,Alex Avila,39.24,British Columbia,Computer Peripherals
955,"TOPS Money Receipt Book, Consecutively Numbered in Red,",Alex Avila,8.01,British Columbia,Paper
956,Xerox 227,Anna Andreadi,6.48,British Columbia,Paper
957,"Sauder Forest Hills Library, Woodland Oak Finish",Angele Hood,140.98,British Columbia,Bookcases
958,GBC VeloBinder Electric Binding Machine,Sonia Sunley,120.98,British Columbia,Binders and Binder Accessories
959,Accessory4,Kelly Williams,85.99,British Columbia,Telephones and Communication
960,"Lesro Sheffield Collection Coffee Table, End Table, Center Table, Corner Table",Anna Andreadi,71.37,British Columbia,Tables
961,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",Alex Avila,6.98,British Columbia,Paper
962,Microsoft Internet Keyboard,Jim Karlsson,20.97,British Columbia,Computer Peripherals
963,Xerox 1962,Sonia Sunley,4.28,British Columbia,Paper
964,636,Alex Avila,115.99,British Columbia,Telephones and Communication
965,Global Commerce™ Series High-Back Swivel/Tilt Chairs,Lisa DeCherney,284.98,British Columbia,Chairs & Chairmats
966,Wilson Jones Easy Flow II™ Sheet Lifters,Barbara Fisher,1.8,British Columbia,Binders and Binder Accessories
967,Avery White Multi-Purpose Labels,Barbara Fisher,4.98,British Columbia,Labels
968,Accessory25,Barbara Fisher,20.99,British Columbia,Telephones and Communication
969,Xerox 199,Lisa DeCherney,4.28,British Columbia,Paper
970,Bretford Rectangular Conference Table Tops,Lisa DeCherney,376.13,British Columbia,Tables
971,Bush Advantage Collection® Racetrack Conference Table,Lisa DeCherney,424.21,British Columbia,Tables
972,T28 WORLD,Lisa DeCherney,195.99,British Columbia,Telephones and Communication
973,Hon Comfortask® Task/Swivel Chairs,Barbara Fisher,113.98,British Columbia,Chairs & Chairmats
974,Fellowes 17-key keypad for PS/2 interface,Barbara Fisher,30.73,British Columbia,Computer Peripherals
975,Xerox 1938,Barbara Fisher,47.9,British Columbia,Paper
976,"Executive Impressions 12"" Wall Clock",Alex Avila,17.67,British Columbia,Office Furnishings
977,1726 Digital Answering Machine,Roy Skaria,20.99,British Columbia,Telephones and Communication
978,Hon 4070 Series Pagoda™ Armless Upholstered Stacking Chairs,Angele Hood,291.73,British Columbia,Chairs & Chairmats
979,Rediform S.O.S. Phone Message Books,Seth Vernon,4.98,British Columbia,Paper
980,StarTAC 3000,Seth Vernon,125.99,British Columbia,Telephones and Communication
981,Staples® General Use 3-Ring Binders,Sarah Foster,1.88,British Columbia,Binders and Binder Accessories
982,Adesso Programmable 142-Key Keyboard,Kelly Williams,152.48,British Columbia,Computer Peripherals
983,"ACCOHIDE® 3-Ring Binder, Blue, 1""",Dennis Bolton,4.13,British Columbia,Binders and Binder Accessories
984,Ampad #10 Peel & Seel® Holiday Envelopes,Dennis Bolton,4.48,British Columbia,Envelopes
985,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Roy Skaria,7.28,British Columbia,Computer Peripherals
986,Durable Pressboard Binders,Jim Karlsson,3.8,British Columbia,Binders and Binder Accessories
987,"Global Leather and Oak Executive Chair, Black",Jim Karlsson,300.98,British Columbia,Chairs & Chairmats
988,3M Organizer Strips,Barbara Fisher,5.4,British Columbia,Binders and Binder Accessories
989,Xerox 1983,Anna Andreadi,5.98,British Columbia,Paper
990,Advantus Map Pennant Flags and Round Head Tacks,Seth Vernon,3.95,British Columbia,Rubber Bands
991,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Alex Avila,160.98,British Columbia,Chairs & Chairmats
992,"Belkin 107-key enhanced keyboard, USB/PS/2 interface",Alex Avila,17.98,British Columbia,Computer Peripherals
993,5185,Alex Avila,115.99,British Columbia,Telephones and Communication
994,Hon Every-Day® Chair Series Swivel Task Chairs,Sonia Sunley,120.98,British Columbia,Chairs & Chairmats
995,Avery 494,Lisa DeCherney,2.61,British Columbia,Labels
996,Xerox 1905,Dennis Bolton,6.48,British Columbia,Paper
997,Dana Halogen Swing-Arm Architect Lamp,Anthony O'Donnell,40.97,British Columbia,Office Furnishings
998,Maxell DVD-RAM Discs,Barbara Fisher,16.48,British Columbia,Computer Peripherals
999,"DAX Contemporary Wood Frame with Silver Metal Mat, Desktop, 11 x 14 Size",Barbara Fisher,20.24,British Columbia,Office Furnishings
1000,Computer Printout Paper with Letter-Trim Perforations,Barbara Fisher,18.97,British Columbia,Paper
1001,StarTAC ST7868,Barbara Fisher,125.99,British Columbia,Telephones and Communication
1002,Novimex Turbo Task Chair,Barbara Fisher,70.98,British Columbia,Chairs & Chairmats
1003,Panasonic KX-P3626 Dot Matrix Printer,Dennis Bolton,517.48,British Columbia,Office Machines
1004,TI 36X Solar Scientific Calculator,Lisa DeCherney,23.99,British Columbia,Office Machines
1005,Belkin F9M820V08 8 Outlet Surge,Sarah Foster,42.98,British Columbia,Appliances
1006,"Global Leather Task Chair, Black",Sarah Foster,89.99,British Columbia,Chairs & Chairmats
1007,"Fellowes Basic 104-Key Keyboard, Platinum",Sarah Foster,20.95,British Columbia,Computer Peripherals
1008,Fellowes Super Stor/Drawer® Files,Anna Andreadi,161.55,British Columbia,Storage & Organization
1009,Zoom V.92 USB External Faxmodem,Roy Skaria,49.99,British Columbia,Computer Peripherals
1010,Unpadded Memo Slips,Roy Skaria,3.98,British Columbia,Paper
1011,Canon PC1060 Personal Laser Copier,Roy Skaria,699.99,British Columbia,Copiers and Fax
1012,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Dark Blue",Dennis Bolton,3.81,British Columbia,Binders and Binder Accessories
1013,GBC VeloBinder Strips,Alex Avila,7.68,British Columbia,Binders and Binder Accessories
1014,Xerox 227,Roy Skaria,6.48,British Columbia,Paper
1015,"Memorex 4.7GB DVD+RW, 3/Pack",Seth Vernon,28.48,British Columbia,Computer Peripherals
1016,"Memorex 4.7GB DVD+RW, 3/Pack",Barbara Fisher,28.48,British Columbia,Computer Peripherals
1017,MicroTAC 650,Barbara Fisher,65.99,British Columbia,Telephones and Communication
1018,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Peter Buhler,4.98,British Columbia,Computer Peripherals
1019,Hand-Finished Solid Wood Document Frame,Peter Buhler,34.23,British Columbia,Office Furnishings
1020,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Dennis Bolton,43.98,British Columbia,Pens & Art Supplies
1021,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Roy Skaria,51.75,British Columbia,Office Furnishings
1022,StarTAC 7760,Roy Skaria,65.99,British Columbia,Telephones and Communication
1023,Xerox 210,Alex Avila,6.48,British Columbia,Paper
1024,Personal Creations™ Ink Jet Cards and Labels,Anthony O'Donnell,11.48,British Columbia,Paper
1025,Xerox 1923,Anthony O'Donnell,6.68,British Columbia,Paper
1026,"Peel & Seel® Recycled Catalog Envelopes, Brown",Seth Vernon,11.58,British Columbia,Envelopes
1027,Staples Metal Binder Clips,Sonia Sunley,2.62,British Columbia,Rubber Bands
1028,Hewlett-Packard 4.7GB DVD+R Discs,Daniel Lacy,8.5,British Columbia,Computer Peripherals
1029,"It's Hot Message Books with Stickers, 2 3/4"" x 5""",Daniel Lacy,7.4,British Columbia,Paper
1030,"Dixon Prang® Watercolor Pencils, 10-Color Set with Brush",Daniel Lacy,4.26,British Columbia,Pens & Art Supplies
1031,I888 World Phone,Giulietta Weimer,155.99,British Columbia,Telephones and Communication
1032,Xerox 1997,Giulietta Weimer,6.48,British Columbia,Paper
1033,GBC Therma-A-Bind 250T Electric Binding System,Mike Vittorini,122.99,British Columbia,Binders and Binder Accessories
1034,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Mike Vittorini,68.81,British Columbia,Appliances
1035,Avery Printable Repositionable Plastic Tabs,Lela Donovan,8.6,British Columbia,Binders and Binder Accessories
1036,GBC DocuBind TL300 Electric Binding System,Lela Donovan,896.99,British Columbia,Binders and Binder Accessories
1037,Storex DuraTech Recycled Plastic Frosted Binders,Lela Donovan,4.24,British Columbia,Binders and Binder Accessories
1038,GBC DocuBind 200 Manual Binding Machine,Shahid Shariari,420.98,British Columbia,Binders and Binder Accessories
1039,Staples SlimLine Pencil Sharpener,Shahid Shariari,11.97,British Columbia,Pens & Art Supplies
1040,Hon Comfortask® Task/Swivel Chairs,Trudy Schmidt,113.98,British Columbia,Chairs & Chairmats
1041,Xerox 204,Trudy Schmidt,6.48,British Columbia,Paper
1042,StarTAC 7760,Christopher Martinez,65.99,British Columbia,Telephones and Communication
1043,Newell 35,Mike Vittorini,3.28,British Columbia,Pens & Art Supplies
1044,Acco® Hot Clips™ Clips to Go,Marc Harrigan,3.29,British Columbia,Rubber Bands
1045,Hoover Portapower™ Portable Vacuum,Christopher Martinez,4.48,British Columbia,Appliances
1046,"Wilson Jones Hanging View Binder, White, 1""",Shahid Shariari,7.1,British Columbia,Binders and Binder Accessories
1047,Staples Brown Kraft Recycled Clasp Envelopes,Liz Price,5.58,British Columbia,Envelopes
1048,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Lela Donovan,68.81,British Columbia,Appliances
1049,Xerox 1947,Lela Donovan,5.98,British Columbia,Paper
1050,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Lela Donovan,300.65,British Columbia,Appliances
1051,Xerox 1950,Lela Donovan,5.78,British Columbia,Paper
1052,"Eldon Regeneration Recycled Desk Accessories, Smoke",Mike Vittorini,1.74,British Columbia,Office Furnishings
1053,"Imation 3.5"" DS-HD Macintosh Formatted Diskettes, 10/Pack",Shahid Shariari,7.28,British Columbia,Computer Peripherals
1054,Project Tote Personal File,Shahid Shariari,14.03,British Columbia,Storage & Organization
1055,GBC ProClick™ 150 Presentation Binding System,Ralph Kennedy,315.98,British Columbia,Binders and Binder Accessories
1056,Letter Size Cart,Rob Dowd,142.86,British Columbia,Storage & Organization
1057,Accessory2,Ralph Kennedy,55.99,British Columbia,Telephones and Communication
1058,Eldon ClusterMat Chair Mat with Cordless Antistatic Protection,Khloe Miller,90.98,British Columbia,Office Furnishings
1059,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Khloe Miller,218.75,British Columbia,Tables
1060,"Sauder Forest Hills Library, Woodland Oak Finish",Khloe Miller,140.98,British Columbia,Bookcases
1061,"#10- 4 1/8"" x 9 1/2"" Recycled Envelopes",Shahid Hopkins,8.74,British Columbia,Envelopes
1062,Kensington 6 Outlet Guardian Standard Surge Protector,Kristina Nunn,20.48,British Columbia,Appliances
1063,"#10 White Business Envelopes,4 1/8 x 9 1/2",Kristina Nunn,15.67,British Columbia,Envelopes
1064,Avery 492,Ralph Kennedy,2.88,British Columbia,Labels
1065,Bretford CR4500 Series Slim Rectangular Table,Ralph Kennedy,348.21,British Columbia,Tables
1066,"Imation 3.5"" Diskettes, IBM Format, DS/HD, 10/Box, Neon",Ricardo Emerson,31.11,British Columbia,Computer Peripherals
1067,Binder Clips by OIC,Ricardo Emerson,1.48,British Columbia,Rubber Bands
1068,"Career Cubicle Clock, 8 1/4"", Black",Lela Donovan,20.28,British Columbia,Office Furnishings
1069,V8162,Lela Donovan,65.99,British Columbia,Telephones and Communication
1070,Hoover WindTunnel™ Plus Canister Vacuum,Ricardo Emerson,363.25,British Columbia,Appliances
1071,Flexible Leather- Look Classic Collection Ring Binder,Ricardo Emerson,18.94,British Columbia,Binders and Binder Accessories
1072,Okidata ML520 Series Dot Matrix Printers,Patrick O'Brill,510.14,British Columbia,Office Machines
1073,"TOPS Voice Message Log Book, Flash Format",Patrick O'Brill,4.76,British Columbia,Paper
1074,Avery 48,Patrick O'Brill,6.3,British Columbia,Labels
1075,"Fellowes Basic 104-Key Keyboard, Platinum",Trudy Schmidt,20.95,British Columbia,Computer Peripherals
1076,Eldon Cleatmat Plus™ Chair Mats for High Pile Carpets,Thomas Brumley,79.52,British Columbia,Office Furnishings
1077,270c,Thomas Brumley,125.99,British Columbia,Telephones and Communication
1078,Hon Olson Stacker Stools,Shahid Shariari,140.81,British Columbia,Chairs & Chairmats
1079,688,Shahid Shariari,195.99,British Columbia,Telephones and Communication
1080,6340,Shahid Shariari,85.99,British Columbia,Telephones and Communication
1081,Adesso Programmable 142-Key Keyboard,Vicky Freymann,152.48,British Columbia,Computer Peripherals
1082,DAX Clear Channel Poster Frame,Lela Donovan,14.58,British Columbia,Office Furnishings
1083,"Eldon® Expressions™ Wood Desk Accessories, Oak",Khloe Miller,7.38,British Columbia,Office Furnishings
1084,Xerox 1905,Mike Vittorini,6.48,British Columbia,Paper
1085,Binder Posts,Trudy Schmidt,5.74,British Columbia,Binders and Binder Accessories
1086,Canon P1-DHIII Palm Printing Calculator,Mike Vittorini,17.98,British Columbia,Office Machines
1087,Microsoft Natural Keyboard Elite,Tony Chapman,39.98,British Columbia,Computer Peripherals
1088,Accessory41,Liz Price,35.99,British Columbia,Telephones and Communication
1089,i500plus,Liz Price,65.99,British Columbia,Telephones and Communication
1090,Presstex Flexible Ring Binders,Sarah Bern,4.55,British Columbia,Binders and Binder Accessories
1091,Keytronic Designer 104- Key Black Keyboard,Mark Cousins,40.48,British Columbia,Computer Peripherals
1092,Eldon Simplefile® Box Office®,Shahid Hopkins,12.44,British Columbia,Storage & Organization
1093,Hewlett-Packard Deskjet 3820 Color Inkjet Printer,Mark Cousins,100.97,British Columbia,Office Machines
1094,"Global High-Back Leather Tilter, Burgundy",Giulietta Weimer,122.99,British Columbia,Chairs & Chairmats
1095,White GlueTop Scratch Pads,Patrick O'Brill,15.04,British Columbia,Paper
1096,Accessory25,Mark Cousins,20.99,British Columbia,Telephones and Communication
1097,Belkin ErgoBoard™ Keyboard,Daniel Byrd,30.98,British Columbia,Computer Peripherals
1098,Newell 346,Rob Dowd,2.88,British Columbia,Pens & Art Supplies
1099,Avery Hi-Liter® Fluorescent Desk Style Markers,Mike Vittorini,3.38,British Columbia,Pens & Art Supplies
1100,Global Enterprise™ Series Seating Low-Back Swivel/Tilt Chairs,John Murray,258.98,British Columbia,Chairs & Chairmats
1101,"Tenex Carpeted, Granite-Look or Clear Contemporary Contour Shape Chair Mats",Khloe Miller,70.71,British Columbia,Office Furnishings
1102,"80 Minute CD-R Spindle, 100/Pack - Staples",Kristina Nunn,39.48,British Columbia,Computer Peripherals
1103,Acco Suede Grain Vinyl Round Ring Binder,Ralph Kennedy,2.78,British Columbia,Binders and Binder Accessories
1104,Staples Battery-Operated Desktop Pencil Sharpener,Lela Donovan,10.48,British Columbia,Pens & Art Supplies
1105,3M Polarizing Light Filter Sleeves,Ralph Kennedy,18.65,British Columbia,Office Furnishings
1106,Xerox 220,Ralph Kennedy,6.48,British Columbia,Paper
1107,"Global Leather Task Chair, Black",Lena Hernandez,89.99,British Columbia,Chairs & Chairmats
1108,"Master Caster Door Stop, Brown",Lena Hernandez,5.08,British Columbia,Office Furnishings
1109,"Bush Westfield Collection Bookcases, Fully Assembled",Shahid Hopkins,100.98,British Columbia,Bookcases
1110,6162i,Kristina Nunn,65.99,British Columbia,Telephones and Communication
1111,Staples Bulldog Clip,Kristina Nunn,3.78,British Columbia,Rubber Bands
1112,Wausau Papers Astrobrights® Colored Envelopes,Greg Maxwell,5.98,British Columbia,Envelopes
1113,"Fellowes Mobile Numeric Keypad, Graphite",Vicky Freymann,43.22,British Columbia,Computer Peripherals
1114,iDENi80s,Vicky Freymann,65.99,British Columbia,Telephones and Communication
1115,5190,Rob Dowd,65.99,British Columbia,Telephones and Communication
1116,M70,Lena Hernandez,125.99,British Columbia,Telephones and Communication
1117,Acco 6 Outlet Guardian Premium Surge Suppressor,Lela Donovan,14.56,British Columbia,Appliances
1118,Epson LQ-570e Dot Matrix Printer,Lela Donovan,270.97,British Columbia,Office Machines
1119,Belkin MediaBoard 104- Keyboard,Mark Cousins,27.48,British Columbia,Computer Peripherals
1120,G.E. Halogen Desk Lamp Bulbs,Ricardo Emerson,6.98,British Columbia,Office Furnishings
1121,Xerox 1947,Ricardo Emerson,5.98,British Columbia,Paper
1122,Imation 5.2GB DVD-RAM,Liz Price,60.98,British Columbia,Computer Peripherals
1123,Avery 481,Liz Price,3.08,British Columbia,Labels
1124,"Speediset Carbonless Redi-Letter® 7"" x 8 1/2""",Liz Price,10.31,British Columbia,Paper
1125,Canon MP41DH Printing Calculator,Rob Dowd,150.98,British Columbia,Office Machines
1126,Filing/Storage Totes and Swivel Casters,Rob Dowd,9.71,British Columbia,Storage & Organization
1127,Carina Double Wide Media Storage Towers in Natural & Black,Mark Cousins,80.98,British Columbia,Storage & Organization
1128,Staples® General Use 3-Ring Binders,Giulietta Weimer,1.88,British Columbia,Binders and Binder Accessories
1129,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Giulietta Weimer,29.89,British Columbia,Computer Peripherals
1130,"GE 4 Foot Flourescent Tube, 40 Watt",Liz Price,14.98,British Columbia,Office Furnishings
1131,Eldon Image Series Black Desk Accessories,Sally Knutson,4.14,British Columbia,Office Furnishings
1132,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Liz Price,260.98,British Columbia,Bookcases
1133,Ultra Door Pull Handle,Liz Price,10.52,British Columbia,Office Furnishings
1134,Xerox 1920,Liz Price,5.98,British Columbia,Paper
1135,Avery 498,Gene Hale,2.89,British Columbia,Labels
1136,Staples® General Use 3-Ring Binders,Shahid Shariari,1.88,British Columbia,Binders and Binder Accessories
1137,Office Star - Mid Back Dual function Ergonomic High Back Chair with 2-Way Adjustable Arms,Justin Hirsh,160.98,British Columbia,Chairs & Chairmats
1138,Newell 342,Shahid Shariari,3.28,British Columbia,Pens & Art Supplies
1139,Fiskars® Softgrip Scissors,Shahid Shariari,10.98,British Columbia,"Scissors, Rulers and Trimmers"
1140,Micro Innovations 104 Keyboard,Giulietta Weimer,10.97,British Columbia,Computer Peripherals
1141,Canon PC-428 Personal Copier,Lela Donovan,199.99,British Columbia,Copiers and Fax
1142,Southworth 25% Cotton Linen-Finish Paper & Envelopes,Ralph Kennedy,9.06,British Columbia,Paper
1143,Electrix Halogen Magnifier Lamp,Vicky Freymann,194.3,British Columbia,Office Furnishings
1144,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Thomas Brumley,45.19,British Columbia,Computer Peripherals
1145,Hayes Optima 56K V.90 Internal Voice Modem,Ralph Kennedy,256.99,British Columbia,Computer Peripherals
1146,Advantus Map Pennant Flags and Round Head Tacks,Ralph Kennedy,3.95,British Columbia,Rubber Bands
1147,Xerox 1979,Ralph Kennedy,30.98,British Columbia,Paper
1148,Hoover Portapower™ Portable Vacuum,Khloe Miller,4.48,British Columbia,Appliances
1149,"Global Leather & Oak Executive Chair, Burgundy",Khloe Miller,150.89,British Columbia,Chairs & Chairmats
1150,Staples 6 Outlet Surge,Kristina Nunn,11.97,British Columbia,Appliances
1151,"DAX Two-Tone Rosewood/Black Document Frame, Desktop, 5 x 7",Kristina Nunn,9.48,British Columbia,Office Furnishings
1152,Xerox 1903,Kristina Nunn,5.98,British Columbia,Paper
1153,Boston 1645 Deluxe Heavier-Duty Electric Pencil Sharpener,Mark Cousins,43.98,British Columbia,Pens & Art Supplies
1154,Eldon Pizzaz™ Desk Accessories,Mark Cousins,2.23,British Columbia,Office Furnishings
1155,Bevis 36 x 72 Conference Tables,Sally Knutson,124.49,British Columbia,Tables
1156,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Shahid Shariari,100.98,British Columbia,Bookcases
1157,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Shahid Shariari,10.14,British Columbia,Paper
1158,Hon 2111 Invitation™ Series Corner Table,Sally Knutson,209.37,British Columbia,Tables
1159,Staples Copy Paper (20Lb. and 84 Bright),Sally Knutson,4.98,British Columbia,Paper
1160,Bevis Rectangular Conference Tables,Sally Knutson,145.98,British Columbia,Tables
1161,Belkin F9M820V08 8 Outlet Surge,Sally Knutson,42.98,British Columbia,Appliances
1162,"Master Caster Door Stop, Gray",Sally Knutson,5.08,British Columbia,Office Furnishings
1163,Eureka Disposable Bags for Sanitaire® Vibra Groomer I® Upright Vac,Justin Hirsh,4.06,British Columbia,Appliances
1164,Recycled Premium Regency Composition Covers,Justin Hirsh,15.28,British Columbia,Binders and Binder Accessories
1165,Hammermill Color Copier Paper (28Lb. and 96 Bright),Khloe Miller,9.99,British Columbia,Paper
1166,Xerox 1937,Khloe Miller,48.04,British Columbia,Paper
1167,Xerox 1986,Khloe Miller,6.68,British Columbia,Paper
1168,Accessory12,Shahid Shariari,85.99,British Columbia,Telephones and Communication
1169,"Verbatim DVD-RAM, 5.2GB, Rewritable, Type 1, DS",Ralph Kennedy,29.89,British Columbia,Computer Peripherals
1170,Microsoft Multimedia Keyboard,Giulietta Weimer,30.97,British Columbia,Computer Peripherals
1171,Xerox 1894,Giulietta Weimer,6.48,British Columbia,Paper
1172,Xerox 210,Giulietta Weimer,6.48,British Columbia,Paper
1173,BASF Silver 74 Minute CD-R,Heather Jas,1.7,British Columbia,Computer Peripherals
1174,Accessory32,Vicky Freymann,55.99,British Columbia,Telephones and Communication
1175,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",Vicky Freymann,16.91,British Columbia,Storage & Organization
1176,Canon PC-428 Personal Copier,Philisse Overcash,199.99,British Columbia,Copiers and Fax
1177,Xerox 190,Philisse Overcash,4.98,British Columbia,Paper
1178,Eldon Cleatmat® Chair Mats for Medium Pile Carpets,Mark Cousins,55.5,British Columbia,Office Furnishings
1179,Okidata ML390 Turbo Dot Matrix Printers,Mark Cousins,442.14,British Columbia,Office Machines
1180,Colored Envelopes,Shahid Hopkins,3.69,British Columbia,Envelopes
1181,"Career Cubicle Clock, 8 1/4"", Black",Khloe Miller,20.28,British Columbia,Office Furnishings
1182,"Advantus Employee of the Month Certificate Frame, 11 x 13-1/2",Mark Cousins,30.93,British Columbia,Office Furnishings
1183,Panasonic KX-P3200 Dot Matrix Printer,Mark Cousins,297.48,British Columbia,Office Machines
1184,Hon 94000 Series Round Tables,Mark Cousins,296.18,British Columbia,Tables
1185,Xerox 196,Mark Cousins,5.78,British Columbia,Paper
1186,Xerox 1919,Trudy Schmidt,40.99,British Columbia,Paper
1187,"Conquest™ 14 Commercial Heavy-Duty Upright Vacuum, Collection System, Accessory Kit",Rob Dowd,56.96,British Columbia,Appliances
1188,Westinghouse Clip-On Gooseneck Lamps,Rob Dowd,8.37,British Columbia,Office Furnishings
1189,Xerox 1893,Rob Dowd,40.99,British Columbia,Paper
